date,open,high,low,close,volume,amount,turnover,adj_close_hfq
2025-07-28,1453.0,1454.99,1436.3,1438.66,38586,5560966386.0,0.31,8573.42
2025-07-29,1439.6,1448.79,1435.01,1439.0,26304,3785848102.0,0.21,8575.12
2025-07-30,1444.0,1457.16,1437.0,1449.44,31868,4612883040.0,0.25,8627.58
2025-07-31,1443.0,1444.87,1418.0,1421.67,51798,7386302758.0,0.41,8488.04
2025-08-01,1421.87,1425.96,1414.0,1417.0,29636,4200850790.0,0.24,8464.58
2025-08-04,1415.0,1419.8,1414.0,1419.0,18688,2647105740.0,0.15,8474.63
2025-08-05,1421.0,1429.94,1417.11,1427.74,25342,3607931488.0,0.2,8518.54
2025-08-06,1429.0,1429.0,1419.3,1423.88,23699,3372334940.0,0.19,8499.15
2025-08-07,1423.88,1427.7,1420.06,1422.35,28001,3988765795.0,0.22,8491.46
2025-08-08,1423.05,1426.5,1418.0,1420.97,18655,2651478118.0,0.15,8484.53
2025-08-11,1423.5,1451.99,1423.0,1445.0,47159,6794034090.0,0.38,8605.27
2025-08-12,1449.0,1465.07,1436.0,1437.04,42019,6095342036.0,0.33,8565.28
2025-08-13,1425.0,1433.68,1420.0,1420.05,65528,9325460101.0,0.52,8479.9
2025-08-14,1420.94,1447.51,1420.94,1426.99,48129,6897535330.0,0.38,8514.78
2025-08-15,1426.01,1428.66,1420.22,1422.08,47582,6772436997.0,0.38,8490.1
